competition,season,match_date,home_team,away_team,innings_number,batting_team,bowling_team,runs,wickets,balls,extras,target,completed,innings_status
The Hundred Women,2026,2026-07-21,MI London,SunRisers Leeds,1,MI London,SunRisers Leeds,107,8,100,,,1,completed
The Hundred Women,2026,2026-07-21,MI London,SunRisers Leeds,2,SunRisers Leeds,MI London,109,3,69,,,1,completed
The Hundred Women,2026,2026-07-22,Southern Brave,Welsh Fire,1,Southern Brave,Welsh Fire,126,7,100,,,1,completed
The Hundred Women,2026,2026-07-22,Southern Brave,Welsh Fire,2,Welsh Fire,Southern Brave,118,8,100,,,1,completed
The Hundred Women,2026,2026-07-23,London Spirit,Manchester Super Giants,1,London Spirit,Manchester Super Giants,80,10,91,,,1,completed
The Hundred Women,2026,2026-07-23,London Spirit,Manchester Super Giants,2,Manchester Super Giants,London Spirit,86,3,59,,,1,completed
The Hundred Women,2026,2026-07-24,Birmingham Phoenix,Trent Rockets,1,Birmingham Phoenix,Trent Rockets,64,10,95,,,1,completed
The Hundred Women,2026,2026-07-24,Birmingham Phoenix,Trent Rockets,2,Trent Rockets,Birmingham Phoenix,68,1,31,,,1,completed
The Hundred Women,2026,2026-07-25,SunRisers Leeds,Southern Brave,1,SunRisers Leeds,Southern Brave,116,10,100,,,1,completed
The Hundred Women,2026,2026-07-25,SunRisers Leeds,Southern Brave,2,Southern Brave,SunRisers Leeds,117,5,96,,,1,completed
The Hundred Women,2026,2026-07-25,Welsh Fire,MI London,1,Welsh Fire,MI London,177,4,100,,,1,completed
The Hundred Women,2026,2026-07-25,Welsh Fire,MI London,2,MI London,Welsh Fire,117,10,92,,,1,completed
The Hundred Women,2026,2026-07-26,Manchester Super Giants,Birmingham Phoenix,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-26,Manchester Super Giants,Birmingham Phoenix,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-26,Trent Rockets,London Spirit,1,Trent Rockets,London Spirit,142,7,100,,,1,completed
The Hundred Women,2026,2026-07-26,Trent Rockets,London Spirit,2,London Spirit,Trent Rockets,146,5,97,,,1,completed
The Hundred Women,2026,2026-07-27,Southern Brave,MI London,1,Southern Brave,MI London,126,7,100,,,1,completed
The Hundred Women,2026,2026-07-27,Southern Brave,MI London,2,MI London,Southern Brave,125,3,100,,,1,completed
The Hundred Women,2026,2026-07-28,SunRisers Leeds,Manchester Super Giants,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-28,SunRisers Leeds,Manchester Super Giants,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-29,Welsh Fire,Trent Rockets,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-29,Welsh Fire,Trent Rockets,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-29,MI London,London Spirit,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-29,MI London,London Spirit,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-30,Southern Brave,Birmingham Phoenix,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-30,Southern Brave,Birmingham Phoenix,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-31,Manchester Super Giants,Trent Rockets,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-07-31,Manchester Super Giants,Trent Rockets,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-01,Birmingham Phoenix,Welsh Fire,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-01,Birmingham Phoenix,Welsh Fire,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-01,London Spirit,Southern Brave,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-01,London Spirit,Southern Brave,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-02,Trent Rockets,SunRisers Leeds,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-02,Trent Rockets,SunRisers Leeds,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-02,MI London,Manchester Super Giants,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-02,MI London,Manchester Super Giants,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-03,Welsh Fire,Southern Brave,1,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-03,Welsh Fire,Southern Brave,2,,,,,,,,0,not_started
The Hundred Women,2026,2026-08-04,SunRisers Leeds,London Spirit,1,,,,,,,,0,not_started
